Unnamed: 0,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
199,4,21,27,27,20,17,0,29,28,7,6,22,8,26,13,7,25,2,20,0,24,22,18,11,6,3,9,14,10
202,4,26,23,17,4,21,28,27,17,22,26,17,9,21,13,24,16,18,7,12,15,11,25,3,0,19,16,3,11
203,4,25,19,20,25,25,19,22,10,22,23,21,26,18,18,20,9,19,8,13,18,12,5,17,23,16,13,0,2
204,4,17,16,16,21,25,16,12,13,7,20,8,14,29,29,16,22,3,1,28,27,26,7,8,2,3,10,6,17
205,4,22,6,8,28,25,25,11,0,22,23,12,4,17,20,20,8,13,5,15,19,13,5,19,24,14,16,5,11
206,4,15,9,12,18,12,16,11,18,16,22,10,22,11,14,26,17,17,7,14,17,4,8,12,10,20,12,3,13
207,4,13,6,7,11,21,20,16,10,6,18,13,14,28,17,14,24,2,17,16,20,26,6,20,13,4,10,21,17
210,5,23,21,19,21,18,28,14,16,22,29,29,5,5,25,26,17,17,6,15,17,1,12,15,21,27,7,22,8
211,5,1,0,17,19,9,8,3,25,19,9,3,22,3,15,2,19,26,28,25,13,1,19,10,15,27,6,16,7
212,5,0,0,26,0,6,6,1,7,17,9,3,13,10,7,4,6,5,1,23,25,27,25,27,28,25,4,12,9
213,5,28,29,29,18,5,8,0,24,17,13,1,24,27,0,25,16,21,22,22,15,1,15,7,14,27,7,22,5
214,5,20,5,11,13,5,9,5,9,23,2,25,6,20,1,27,9,14,5,20,20,7,22,13,23,26,7,22,8
215,5,24,28,26,20,13,8,11,4,10,6,13,13,14,3,18,27,1,0,26,0,26,12,24,24,17,4,12,9
218,5,29,29,29,18,25,6,2,24,16,13,9,23,3,12,2,12,29,29,29,15,0,27,25,4,27,4,6,4
219,5,0,4,11,24,0,27,10,26,29,27,11,19,1,20,0,22,24,18,4,4,10,18,21,23,27,10,0,13
220,5,14,24,21,20,11,22,19,9,10,3,24,12,6,0,23,24,4,4,26,27,26,15,15,21,11,22,12,7
221,5,14,28,28,20,3,10,4,17,1,27,20,10,4,9,1,10,2,22,27,5,27,0,27,0,26,5,18,6
222,5,11,20,19,21,1,7,4,25,16,9,26,3,1,27,26,16,18,16,15,12,1,8,9,8,27,9,25,7
223,5,0,4,12,24,23,3,2,1,27,23,1,19,2,12,1,21,19,17,10,8,5,25,11,7,26,4,11,7
226,5,17,23,24,20,26,15,17,17,14,6,26,11,16,8,6,25,2,0,27,0,18,25,20,4,15,5,14,6
227,5,0,13,25,22,1,8,0,23,29,29,16,18,2,22,0,17,25,12,0,2,21,19,0,27,3,19,4,23
228,5,1,1,0,2,1,11,0,25,14,27,4,18,4,19,1,11,20,23,4,14,2,26,20,6,8,14,26,14
229,5,5,1,5,0,1,8,3,20,27,12,1,21,4,18,9,20,0,0,28,0,6,26,27,27,27,6,21,7
230,5,0,0,22,0,2,28,19,13,2,27,14,26,6,19,0,27,2,24,2,1,3,26,18,8,25,6,13,16
231,5,2,0,10,0,3,5,2,15,22,9,1,14,5,21,10,19,25,29,26,22,27,27,27,0,26,4,12,9
234,5,19,23,24,19,19,14,12,15,19,1,26,7,8,9,10,2,10,14,17,23,14,23,10,21,23,8,18,8
235,5,0,7,15,24,24,3,4,26,26,23,1,19,8,12,6,16,19,19,17,11,3,26,19,6,25,4,11,7
236,5,3,25,25,19,4,12,6,15,3,6,10,23,5,18,1,27,4,25,24,4,2,27,24,3,25,5,18,6
237,5,6,25,22,23,2,5,2,25,10,3,24,11,3,7,10,18,13,12,20,10,1,18,7,9,27,8,24,8
238,5,13,16,21,20,7,6,0,0,11,6,15,12,24,11,3,23,5,3,27,28,22,19,1,1,13,5,18,6
239,5,0,6,19,24,8,23,0,22,29,28,2,17,1,21,0,21,3,26,29,28,20,22,11,4,0,19,25,25
242,5,4,11,21,21,9,3,23,2,10,0,28,6,19,7,4,24,2,21,18,20,18,23,16,9,15,5,18,6
243,5,3,19,23,20,4,22,20,8,0,8,11,12,7,7,7,3,1,16,21,7,12,23,2,3,18,22,12,7
244,5,0,17,21,23,15,28,11,18,26,23,1,22,7,15,16,12,12,9,18,10,3,26,22,7,24,2,11,6
245,5,7,27,26,24,6,5,1,26,6,3,26,12,3,9,5,16,1,3,24,9,1,22,8,11,27,5,14,6
246,5,3,21,23,21,6,18,18,9,3,7,19,8,9,18,13,28,6,26,17,6,0,27,26,4,22,5,18,6
247,6,20,10,12,13,27,25,11,26,22,13,9,28,11,11,22,15,5,1,24,19,7,3,23,8,19,23,23,23
250,6,21,11,8,23,4,18,8,19,14,20,0,19,20,11,21,5,8,2,22,20,14,10,13,17,18,26,27,25
251,6,12,15,10,20,25,7,8,18,9,8,17,11,16,22,15,6,14,17,3,17,14,12,18,10,15,0,13,5
252,6,20,9,16,19,1,6,10,25,17,23,9,3,21,12,19,1,1,0,28,23,21,20,20,1,8,26,25,5
253,6,18,22,3,4,29,2,9,23,13,3,26,6,19,2,23,13,14,11,18,13,4,13,8,10,22,11,2,20
254,6,23,7,13,14,1,11,10,25,21,14,11,5,12,18,19,11,4,1,23,20,9,15,11,9,16,25,24,24
255,6,21,12,5,12,13,14,8,19,17,22,3,22,25,14,16,28,14,18,7,25,21,19,17,10,12,0,27,25
258,6,20,10,10,18,28,5,9,21,0,19,2,17,26,4,15,24,8,27,23,26,0,0,27,1,16,10,0,11
259,6,15,6,7,12,21,27,21,5,21,14,13,25,11,6,22,17,14,5,21,17,4,5,21,6,20,12,15,21
260,6,14,25,3,7,4,28,24,12,6,3,27,7,7,6,8,10,24,27,26,10,7,13,0,4,22,21,27,16
261,6,27,23,0,3,19,17,8,11,25,7,18,5,19,20,19,5,15,5,12,19,15,12,15,14,12,24,25,4
262,6,22,14,12,23,18,14,5,19,8,21,7,21,28,16,13,24,12,28,21,25,25,17,18,0,8,17,22,25
263,6,3,21,5,6,7,21,11,13,2,14,25,4,13,6,11,4,5,24,20,6,14,9,1,21,14,0,24,2
266,6,27,26,25,17,12,14,21,27,22,7,17,6,19,10,17,1,7,1,23,23,20,15,8,20,8,20,12,8
267,6,8,7,8,13,15,21,23,3,10,3,25,8,20,14,18,2,23,4,2,1,17,7,17,7,12,0,24,4
268,6,18,20,7,4,2,14,2,21,8,18,0,18,13,9,20,15,12,4,19,17,5,6,11,15,19,23,20,23
269,6,20,7,13,17,1,17,3,25,18,20,12,5,26,14,10,26,11,28,24,26,25,17,20,4,5,11,11,13
270,6,11,24,1,2,2,19,6,21,7,17,1,18,16,3,22,16,14,5,20,15,3,4,12,16,21,19,14,22
271,6,2,9,12,20,3,25,5,26,1,27,4,3,7,7,6,11,15,21,10,11,11,26,27,28,18,3,20,17
274,6,4,7,11,19,7,22,12,3,0,25,7,21,12,6,13,5,13,20,8,13,19,0,6,0,16,1,22,4
275,6,7,10,9,24,12,6,5,24,7,17,7,20,23,0,24,14,14,11,19,13,3,7,11,13,22,15,13,21
276,6,23,23,1,3,12,13,2,22,19,4,28,4,16,4,20,15,15,6,17,14,4,6,17,10,21,13,9,22
277,6,24,19,17,24,1,7,21,23,23,20,17,6,18,19,16,6,0,0,29,22,13,18,8,12,13,25,24,25
278,6,12,14,13,16,18,20,26,2,13,3,24,8,23,10,8,27,3,15,2,2,21,10,14,7,4,4,22,13
279,6,18,7,10,18,2,24,22,27,14,12,13,4,29,28,13,22,6,4,26,28,0,14,13,28,4,4,22,13
282,6,27,23,1,3,12,22,8,18,26,5,25,3,18,17,21,14,20,10,5,14,7,9,11,13,20,21,22,25
283,6,12,26,8,7,25,5,5,24,4,17,22,26,6,8,6,11,27,28,28,10,7,6,8,9,16,16,12,10
284,6,9,11,14,23,10,28,24,28,2,25,13,28,22,4,19,26,2,16,20,19,19,18,1,14,1,24,8,0
285,6,20,9,10,17,20,18,19,12,18,8,12,9,26,15,4,24,7,20,27,28,27,10,16,16,0,26,27,0
286,6,10,23,3,4,14,23,24,3,13,0,28,7,17,8,14,3,28,1,5,1,16,24,19,1,0,18,25,13
287,6,4,7,12,17,0,16,0,22,0,18,11,18,6,5,15,15,14,15,17,13,3,24,25,1,20,8,4,19
290,6,18,22,4,4,23,13,13,14,11,4,20,10,23,17,24,29,24,4,2,1,21,18,18,2,9,7,26,16
291,6,26,19,18,17,13,22,6,12,26,7,24,5,17,22,21,9,19,6,9,18,12,9,13,14,17,1,27,1
292,6,20,7,6,17,29,2,10,22,20,2,21,11,27,12,7,25,7,13,0,0,24,26,27,1,3,13,12,2
293,6,8,17,18,18,10,18,14,27,29,29,13,0,19,20,21,1,0,1,28,6,12,27,24,3,12,2,17,10
294,6,6,24,1,6,28,4,9,25,3,15,9,21,7,4,14,15,10,11,16,11,4,7,7,8,20,13,3,20
295,7,25,18,18,25,6,23,10,20,21,17,3,24,24,5,22,18,22,10,5,12,2,8,5,25,24,21,1,19
298,7,10,19,19,21,22,12,5,20,9,4,25,9,9,9,8,10,22,19,1,13,8,22,4,15,1,0,26,21
299,7,10,19,19,20,6,12,0,22,11,1,28,5,8,7,8,16,9,15,22,11,3,19,8,14,23,12,9,20
300,7,22,18,15,20,1,27,5,26,17,25,12,25,21,4,16,27,10,22,18,26,27,11,19,22,7,16,5,23
301,7,26,19,20,24,4,26,15,19,21,12,1,12,19,16,18,14,21,12,6,13,6,11,8,16,19,22,2,24
